Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,ASCII_DSL,50,1.000,0.000,0.960,1.000,1.000,1.000,0.000
1_selection_classification,CTRL,200,0.396,0.204,0.529,0.005,1.000,0.005,0.000
1_selection_classification,CTRL_RANDOM,50,0.740,0.443,0.700,0.740,1.000,0.740,0.000
1_selection_classification,MG,200,0.925,0.043,0.951,0.250,1.000,0.250,0.245
1_selection_classification,NL,200,1.000,0.000,0.990,1.000,1.000,1.000,0.245
1_selection_classification,NL_SHORT,50,1.000,0.000,0.960,1.000,1.000,1.000,0.000
2_structured_extraction,ASCII_DSL,50,0.895,0.160,0.895,0.620,1.000,0.620,0.000
2_structured_extraction,CTRL,200,0.214,0.383,0.214,0.140,1.000,0.140,0.000
2_structured_extraction,CTRL_RANDOM,50,0.910,0.141,0.910,0.660,1.000,0.660,0.000
2_structured_extraction,MG,200,0.224,0.397,0.224,0.160,1.000,0.160,0.035
2_structured_extraction,NL,200,0.219,0.389,0.219,0.145,1.000,0.145,0.035
2_structured_extraction,NL_SHORT,50,0.885,0.145,0.885,0.580,1.000,0.580,0.000
3_constraint_composition,ASCII_DSL,50,0.980,0.074,0.968,0.900,1.000,0.900,0.000
3_constraint_composition,CTRL,200,0.073,0.148,0.107,0.000,1.000,0.000,0.000
3_constraint_composition,CTRL_RANDOM,50,0.732,0.368,0.761,0.620,1.000,0.620,0.000
3_constraint_composition,MG,200,0.243,0.425,0.241,0.220,1.000,0.220,0.220
3_constraint_composition,NL,200,0.250,0.434,0.245,0.245,1.000,0.245,0.220
3_constraint_composition,NL_SHORT,50,0.994,0.026,0.977,0.940,1.000,0.940,0.000
4_conditional_transformation,ASCII_DSL,50,0.083,0.223,0.083,0.000,1.000,0.000,0.000
4_conditional_transformation,CTRL,200,0.050,0.029,0.050,0.000,0.995,0.000,0.000
4_conditional_transformation,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,MG,200,0.704,0.359,0.704,0.010,1.000,0.010,0.005
4_conditional_transformation,NL,200,0.864,0.114,0.864,0.060,1.000,0.060,0.005
4_conditional_transformation,NL_SHORT,50,0.715,0.249,0.715,0.160,1.000,0.160,0.000
