Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,ASCII_DSL,50,1.000,0.000,0.960,1.000,1.000,1.000,0.000
1_selection_classification,CTRL,200,0.766,0.412,0.774,0.750,0.995,0.750,0.000
1_selection_classification,CTRL_RANDOM,50,0.700,0.463,0.660,0.700,1.000,0.700,0.000
1_selection_classification,MG,200,1.000,0.000,0.990,1.000,1.000,1.000,0.250
1_selection_classification,NL,200,1.000,0.000,0.990,1.000,1.000,1.000,0.250
1_selection_classification,NL_SHORT,50,1.000,0.000,0.960,1.000,1.000,1.000,0.000
2_structured_extraction,ASCII_DSL,50,0.950,0.113,0.950,0.740,1.000,0.740,0.000
2_structured_extraction,CTRL,200,0.224,0.395,0.224,0.150,1.000,0.150,0.000
2_structured_extraction,CTRL_RANDOM,50,0.930,0.143,0.930,0.700,1.000,0.700,0.000
2_structured_extraction,MG,200,0.228,0.402,0.228,0.155,0.990,0.155,0.025
2_structured_extraction,NL,200,0.225,0.398,0.225,0.160,0.990,0.160,0.025
2_structured_extraction,NL_SHORT,50,0.940,0.139,0.940,0.700,1.000,0.700,0.000
3_constraint_composition,ASCII_DSL,50,1.000,0.000,0.980,1.000,1.000,1.000,0.000
3_constraint_composition,CTRL,200,0.062,0.121,0.096,0.000,0.685,0.000,0.000
3_constraint_composition,CTRL_RANDOM,50,0.707,0.416,0.719,0.660,1.000,0.660,0.000
3_constraint_composition,MG,200,0.250,0.434,0.245,0.250,0.665,0.250,0.610
3_constraint_composition,NL,200,0.250,0.434,0.245,0.250,0.675,0.250,0.610
3_constraint_composition,NL_SHORT,50,1.000,0.000,0.980,1.000,1.000,1.000,0.000
4_conditional_transformation,ASCII_DSL,50,0.940,0.240,0.940,0.940,1.000,0.940,0.000
4_conditional_transformation,CTRL,200,0.000,0.000,0.000,0.000,0.250,0.000,0.000
4_conditional_transformation,CTRL_RANDOM,50,0.860,0.351,0.860,0.860,1.000,0.860,0.000
4_conditional_transformation,MG,200,0.230,0.422,0.230,0.230,0.250,0.230,0.195
4_conditional_transformation,NL,200,0.250,0.434,0.250,0.250,0.250,0.250,0.195
4_conditional_transformation,NL_SHORT,50,0.984,0.079,0.984,0.960,1.000,0.960,0.000
