Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,ASCII_DSL,50,0.183,0.348,0.185,0.120,0.980,0.120,0.000
1_selection_classification,CTRL,100,0.069,0.209,0.084,0.030,0.650,0.030,0.000
1_selection_classification,CTRL_RANDOM,50,0.228,0.367,0.257,0.120,1.000,0.120,0.000
1_selection_classification,MG,100,0.148,0.325,0.154,0.100,0.660,0.100,0.050
1_selection_classification,NL,100,0.321,0.447,0.334,0.250,0.660,0.250,0.050
1_selection_classification,NL_SHORT,50,0.485,0.447,0.524,0.360,1.000,0.360,0.000
2_structured_extraction,ASCII_DSL,50,0.940,0.119,0.940,0.580,1.000,0.580,0.000
2_structured_extraction,CTRL,100,0.475,0.485,0.475,0.320,0.970,0.320,0.000
2_structured_extraction,CTRL_RANDOM,50,0.960,0.105,0.960,0.680,1.000,0.680,0.000
2_structured_extraction,MG,100,0.475,0.484,0.475,0.290,0.960,0.290,0.110
2_structured_extraction,NL,100,0.485,0.491,0.485,0.310,0.960,0.310,0.110
2_structured_extraction,NL_SHORT,50,0.955,0.109,0.955,0.720,1.000,0.720,0.000
3_constraint_composition,ASCII_DSL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,CTRL,100,0.000,0.000,0.000,0.000,0.140,0.000,0.000
3_constraint_composition,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,MG,100,0.000,0.000,0.000,0.000,0.150,0.000,0.000
3_constraint_composition,NL,100,0.229,0.293,0.292,0.030,1.000,0.030,0.000
3_constraint_composition,NL_SHORT,50,0.489,0.251,0.616,0.040,1.000,0.040,0.000
4_conditional_transformation,ASCII_DSL,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,CTRL,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,MG,100,0.000,0.000,0.000,0.000,1.000,0.000,0.180
4_conditional_transformation,NL,100,0.000,0.000,0.000,0.000,1.000,0.000,0.180
4_conditional_transformation,NL_SHORT,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
