Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,ASCII_DSL,50,0.821,0.327,0.849,0.680,1.000,0.680,0.000
1_selection_classification,CTRL,50,0.104,0.200,0.146,0.020,1.000,0.020,0.000
1_selection_classification,CTRL_RANDOM,50,0.531,0.464,0.558,0.460,1.000,0.460,0.000
1_selection_classification,MG,50,0.870,0.272,0.897,0.740,1.000,0.740,0.740
1_selection_classification,NL,50,0.926,0.225,0.938,0.860,1.000,0.860,0.740
1_selection_classification,NL_SHORT,50,0.941,0.207,0.930,0.900,1.000,0.900,0.000
2_structured_extraction,ASCII_DSL,50,0.955,0.120,0.955,0.600,1.000,0.600,0.000
2_structured_extraction,CTRL,50,0.920,0.163,0.920,0.580,1.000,0.580,0.000
2_structured_extraction,CTRL_RANDOM,50,0.950,0.124,0.950,0.580,1.000,0.580,0.000
2_structured_extraction,MG,50,0.955,0.120,0.955,0.600,1.000,0.600,0.180
2_structured_extraction,NL,50,0.950,0.113,0.950,0.580,1.000,0.580,0.180
2_structured_extraction,NL_SHORT,50,0.960,0.105,0.960,0.700,1.000,0.700,0.000
3_constraint_composition,ASCII_DSL,50,0.711,0.272,0.794,0.300,1.000,0.300,0.000
3_constraint_composition,CTRL,50,0.421,0.258,0.550,0.080,1.000,0.080,0.000
3_constraint_composition,CTRL_RANDOM,50,0.415,0.271,0.539,0.100,1.000,0.100,0.000
3_constraint_composition,MG,50,0.716,0.271,0.784,0.400,1.000,0.400,0.140
3_constraint_composition,NL,50,0.649,0.287,0.724,0.180,1.000,0.180,0.140
3_constraint_composition,NL_SHORT,50,0.690,0.291,0.777,0.360,1.000,0.360,0.000
4_conditional_transformation,ASCII_DSL,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,CTRL,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,CTRL_RANDOM,50,0.252,0.183,0.252,0.000,1.000,0.000,0.000
4_conditional_transformation,MG,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,NL,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
4_conditional_transformation,NL_SHORT,50,0.000,0.000,0.000,0.000,1.000,0.000,0.000
