Family,Condition,N,Accuracy (Mean),Accuracy (Std),F1 (Mean),Exact Match Rate,Parse Rate,Pass Rate,Semantic Equiv Rate
1_selection_classification,ASCII_DSL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_selection_classification,CTRL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_selection_classification,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_selection_classification,MG,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_selection_classification,NL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1_selection_classification,NL_SHORT,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_structured_extraction,ASCII_DSL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_structured_extraction,CTRL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_structured_extraction,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_structured_extraction,MG,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_structured_extraction,NL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2_structured_extraction,NL_SHORT,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,ASCII_DSL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,CTRL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,MG,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,NL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3_constraint_composition,NL_SHORT,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,ASCII_DSL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,CTRL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,CTRL_RANDOM,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,MG,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,NL,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4_conditional_transformation,NL_SHORT,50,0.000,0.000,0.000,0.000,0.000,0.000,0.000
